id,shop_id,name,slug,image,description,price,available,created,updated,catalogll_id
21,1,Mango Cheese Cake,CheeseCake,products/2024/09/20/CheeseCake_01_MangoCheese.jpg,Cream cheese cake with layers of sponge cake and fresh mango.,460,TRUE,2024-09-20 11:33:34.483391+08,2024-09-20 17:02:02.120182+08,9
22,1,Bailey's Cheese Cake,CheeseCake,products/2024/09/20/CheeseCake_03_Baileys_Cheese.jpg,"Layers of coffee sablee, chocolate brownies, coffee cream cheese mousse and Bailey's cream cheese mousse, decorated with coffee macarons.",460,TRUE,2024-09-20 11:40:26.662566+08,2024-09-20 17:01:42.574178+08,9
23,1,American Cheese Cake,CheeseCake,products/2024/09/20/CheeseCake_04_American_Cheese.jpg,A classic - made with Philadelphia cream cheese and sour cream and topped with fresh strawberries.,440,TRUE,2024-09-20 11:40:53.628474+08,2024-09-20 11:40:53.628512+08,9
24,1,Blueberry Cheese Cake,CheeseCake,products/2024/09/20/CheeseCake_02_Blueberry_Cheese.jpg,"Cream cheese cake, covered with delicious blueberry topping.",440,TRUE,2024-09-20 11:40:04.150272+08,2024-09-20 11:40:04.150307+08,10
25,1,Black Forest,ChocolateCake,products/2024/09/23/Chocolate_01_Black_Forest.jpg,"Layers of chocolate sponge cake with cherries, cherry brandy cream and 80% chocolate mousse.",468,TRUE,2024-09-23 10:41:11.714828+08,2024-09-23 11:36:42.443157+08,10
26,1,Earl Grey Tea Chocolate Cake,ChocolateCake,products/2024/09/23/Chocolate_02_Earl_Grey_Tea_Chocolate_Cake.jpg,"Crunchy streusel layered with Earl Grey tea chocolate mousse and chocolate sponge, coated with a chocolate glaze and decorated with a dusting of streusel.",400,TRUE,2024-09-23 10:41:11.714828+08,2024-09-23 11:36:30.282381+08,11
27,1,St. Honore Gateau,Napoleon,products/2024/09/23/Napoleon_05_St_Honore_Gateau.jpg,"Layers of puff pastry, custard cream and chocolate mousse, decorated with cream puff.",440,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 11:34:09.57618+08,11
28,1,Mixed Fruit Napoleon,Napoleon,products/2024/09/23/Napoleon_04_Mixed_Fruit.jpg,"Fresh fruit and custard cream between layers of puff pastry, topped with mixed fruit.",468,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 11:34:48.737409+08,11
29,1,Mixed Berries Napoleon,Napoleon,products/2024/09/23/Napoleon_03_Mixed_Berries.jpg,"Fresh berries and custard cream between layers of puff pastry, topped with mixed berries.",468,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 11:35:19.840247+08,11
30,1,Strawberry Napoleon,Napoleon,products/2024/09/23/Napoleon_02_Strawberry.jpg,"Fresh strawberry and custard cream between layers of puff pastry, topped with fresh strawberry.",468,TRUE,2024-09-20 11:33:34.483391+08,2024-09-23 11:35:35.47517+08,13
